epoch,step,test_dice,test_loss,train_loss,val_loss
0,26,,,,1.653089165687561
0,26,,,1.6777501106262207,
1,53,,,,1.570004940032959
1,53,,,1.607763648033142,
2,80,,,,1.4929882287979126
2,80,,,1.5310416221618652,
3,107,,,,1.446539282798767
3,107,,,1.472631812095642,
4,134,,,,1.4028531312942505
4,134,,,1.4269198179244995,
5,161,,,,1.3620636463165283
5,161,,,1.389665126800537,
6,188,,,,1.3315210342407227
6,188,,,1.3588165044784546,
7,215,,,,1.307115912437439
7,215,,,1.3238060474395752,
8,242,,,,1.278950572013855
8,242,,,1.2960072755813599,
9,269,,,,1.2528454065322876
9,269,,,1.2769263982772827,
10,296,,,,1.2352094650268555
10,296,,,1.255506992340088,
11,323,,,,1.213930368423462
11,323,,,1.2411284446716309,
12,350,,,,1.1961376667022705
12,350,,,1.2159463167190552,
13,377,,,,1.1806120872497559
13,377,,,1.200961947441101,
14,404,,,,1.1637707948684692
14,404,,,1.1873680353164673,
15,431,,,,1.141981601715088
15,431,,,1.1728390455245972,
16,458,,,,1.1323012113571167
16,458,,,1.1590533256530762,
17,485,,,,1.116719126701355
17,485,,,1.1452410221099854,
18,512,,,,1.1011937856674194
18,512,,,1.1345056295394897,
19,539,,,,1.0869699716567993
19,539,,,1.122065782546997,
20,566,,,,1.0741748809814453
20,566,,,1.1127564907073975,
21,593,,,,1.0598162412643433
21,593,,,1.101684331893921,
22,620,,,,1.048565149307251
22,620,,,1.0889660120010376,
23,647,,,,1.030829668045044
23,647,,,1.0824257135391235,
24,674,,,,1.021232008934021
24,674,,,1.0649396181106567,
25,701,,,,1.00812828540802
25,701,,,1.0638240575790405,
26,728,,,,0.9956110715866089
26,728,,,1.0518001317977905,
27,755,,,,0.9815341234207153
27,755,,,1.038120150566101,
28,782,,,,0.9759258031845093
28,782,,,1.0296170711517334,
29,809,,,,0.9630114436149597
29,809,,,1.0162816047668457,
30,836,,,,0.9493758678436279
30,836,,,1.0147719383239746,
31,863,,,,0.9397887587547302
31,863,,,1.007125735282898,
32,890,,,,0.9177719950675964
32,890,,,0.9975272417068481,
33,917,,,,0.9060529470443726
33,917,,,0.9866681694984436,
34,944,,,,0.9027969241142273
34,944,,,0.9803545475006104,
35,971,,,,0.8986995816230774
35,971,,,0.9700020551681519,
36,998,,,,0.8748461604118347
36,998,,,0.957172691822052,
37,1025,,,,0.8775568008422852
37,1025,,,0.9512516856193542,
38,1052,,,,0.8606436848640442
38,1052,,,0.9473876953125,
